RUN	computerdatabase.ProveOwner	proveowner	1588030126469	9 per sec	3.3.1
REQUEST	141		Prove Owner	1588030143256	1588030144299	OK	 
USER	Prove Ownership	141	END	1588030143255	1588030144299
REQUEST	142		Prove Owner	1588030143364	1588030144334	OK	 
USER	Prove Ownership	142	END	1588030143363	1588030144335
USER	Prove Ownership	151	START	1588030144363	1588030144363
REQUEST	144		Prove Owner	1588030143584	1588030144444	OK	 
USER	Prove Ownership	144	END	1588030143583	1588030144445
REQUEST	143		Prove Owner	1588030143474	1588030144470	OK	 
USER	Prove Ownership	143	END	1588030143474	1588030144471
USER	Prove Ownership	152	START	1588030144473	1588030144473
REQUEST	145		Prove Owner	1588030143704	1588030144534	OK	 
USER	Prove Ownership	145	END	1588030143703	1588030144534
REQUEST	146		Prove Owner	1588030143814	1588030144555	OK	 
USER	Prove Ownership	146	END	1588030143813	1588030144556
USER	Prove Ownership	153	START	1588030144583	1588030144583
REQUEST	147		Prove Owner	1588030143925	1588030144624	OK	 
USER	Prove Ownership	147	END	1588030143924	1588030144624
REQUEST	148		Prove Owner	1588030144035	1588030144650	OK	 
USER	Prove Ownership	148	END	1588030144034	1588030144651
USER	Prove Ownership	154	START	1588030144703	1588030144703
REQUEST	149		Prove Owner	1588030144144	1588030144713	OK	 
USER	Prove Ownership	149	END	1588030144143	1588030144714
REQUEST	150		Prove Owner	1588030144256	1588030144743	OK	 
USER	Prove Ownership	150	END	1588030144255	1588030144744
USER	Prove Ownership	155	START	1588030144813	1588030144813
REQUEST	151		Prove Owner	1588030144364	1588030144867	OK	 
USER	Prove Ownership	151	END	1588030144363	1588030144867
REQUEST	152		Prove Owner	1588030144474	1588030144902	OK	 
USER	Prove Ownership	152	END	1588030144473	1588030144902
USER	Prove Ownership	156	START	1588030144924	1588030144924
REQUEST	153		Prove Owner	1588030144584	1588030145023	OK	 
USER	Prove Ownership	153	END	1588030144583	1588030145023
USER	Prove Ownership	157	START	1588030145033	1588030145033
REQUEST	154		Prove Owner	1588030144704	1588030145048	OK	 
USER	Prove Ownership	154	END	1588030144703	1588030145049
USER	Prove Ownership	158	START	1588030145143	1588030145143
USER	Prove Ownership	159	START	1588030145254	1588030145254
REQUEST	156		Prove Owner	1588030144924	1588030145308	OK	 
USER	Prove Ownership	156	END	1588030144924	1588030145308
REQUEST	155		Prove Owner	1588030144814	1588030145347	OK	 
USER	Prove Ownership	155	END	1588030144813	1588030145348
USER	Prove Ownership	160	START	1588030145363	1588030145363
REQUEST	157		Prove Owner	1588030145034	1588030145416	OK	 
USER	Prove Ownership	157	END	1588030145033	1588030145416
USER	Prove Ownership	161	START	1588030145474	1588030145474
REQUEST	158		Prove Owner	1588030145145	1588030145491	OK	 
USER	Prove Ownership	158	END	1588030145143	1588030145491
REQUEST	159		Prove Owner	1588030145256	1588030145522	OK	 
USER	Prove Ownership	159	END	1588030145254	1588030145523
REQUEST	160		Prove Owner	1588030145364	1588030145578	OK	 
USER	Prove Ownership	160	END	1588030145363	1588030145579
