RUN	computerdatabase.ProveOwner	proveowner	1606767974831	 	3.3.1
USER	Prove Ownership	112	START	1606767988862	1606767988862
REQUEST	112		Prove Owner	1606767988863	1606767988911	OK	 
USER	Prove Ownership	112	END	1606767988862	1606767988911
USER	Prove Ownership	113	START	1606767988972	1606767988972
REQUEST	113		Prove Owner	1606767988973	1606767989027	OK	 
USER	Prove Ownership	113	END	1606767988972	1606767989028
USER	Prove Ownership	114	START	1606767989082	1606767989082
REQUEST	114		Prove Owner	1606767989082	1606767989136	OK	 
USER	Prove Ownership	114	END	1606767989082	1606767989136
USER	Prove Ownership	115	START	1606767989192	1606767989192
REQUEST	115		Prove Owner	1606767989193	1606767989244	OK	 
USER	Prove Ownership	115	END	1606767989192	1606767989245
USER	Prove Ownership	116	START	1606767989303	1606767989303
REQUEST	116		Prove Owner	1606767989304	1606767989351	OK	 
USER	Prove Ownership	116	END	1606767989303	1606767989352
USER	Prove Ownership	117	START	1606767989411	1606767989411
REQUEST	117		Prove Owner	1606767989412	1606767989475	OK	 
USER	Prove Ownership	117	END	1606767989411	1606767989476
USER	Prove Ownership	118	START	1606767989523	1606767989523
REQUEST	118		Prove Owner	1606767989523	1606767989576	OK	 
USER	Prove Ownership	118	END	1606767989523	1606767989577
USER	Prove Ownership	119	START	1606767989642	1606767989642
REQUEST	119		Prove Owner	1606767989643	1606767989691	OK	 
USER	Prove Ownership	119	END	1606767989642	1606767989692
USER	Prove Ownership	120	START	1606767989752	1606767989752
REQUEST	120		Prove Owner	1606767989753	1606767989801	OK	 
USER	Prove Ownership	120	END	1606767989752	1606767989801
USER	Prove Ownership	121	START	1606767989863	1606767989863
REQUEST	121		Prove Owner	1606767989864	1606767989912	OK	 
USER	Prove Ownership	121	END	1606767989863	1606767989912
USER	Prove Ownership	122	START	1606767989972	1606767989972
REQUEST	122		Prove Owner	1606767989972	1606767990024	OK	 
USER	Prove Ownership	122	END	1606767989972	1606767990024
USER	Prove Ownership	123	START	1606767990082	1606767990082
REQUEST	123		Prove Owner	1606767990083	1606767990129	OK	 
USER	Prove Ownership	123	END	1606767990082	1606767990130
USER	Prove Ownership	124	START	1606767990191	1606767990191
REQUEST	124		Prove Owner	1606767990192	1606767990239	OK	 
USER	Prove Ownership	124	END	1606767990191	1606767990239
USER	Prove Ownership	125	START	1606767990301	1606767990301
REQUEST	125		Prove Owner	1606767990302	1606767990351	OK	 
USER	Prove Ownership	125	END	1606767990301	1606767990351
USER	Prove Ownership	126	START	1606767990412	1606767990412
USER	Prove Ownership	127	START	1606767990522	1606767990522
